time,bid_price,ask_price
34200004241176,5853300,
34200025551909,5853300,5859100
34200201743336,5853300,5859200
34200201780978,5853300,5859300
34200205573444,5853600,5859300
34200271739507,5857300,5857400
34200275016159,5857300,5857500
34200275072491,5857300,5859300
34200275123235,5857400,5859300
34200280395889,5857700,5859300
34200417746831,5857000,5859300
34200419089711,5857000,5859200
34200610751385,5857000,5859300
34200701389248,5857000,5858700
34200887548747,5857100,5858700
34200911977878,5857400,5858700
34201011352575,5857000,5858700
34201014980201,5856900,5858700
34201015080514,5856500,5858700
34201015180053,5856600,5858700
34201043832887,5856900,5858700
34201171271697,5856500,5858700
34201172976370,5854700,5858700
34201173140799,5854700,5858600
34201173174928,5854800,5858600
34201173205829,5854800,5858400
34201183713008,5854900,5858400
34201188124041,5854900,5858300
34201384238778,5854400,5858300
34201397505880,5854400,5858000
34201536315252,5854400,5857700
34201732217592,5854700,5857700
34201732365170,5854700,5857800
34201732368384,5854700,5858000
34201840762287,5854700,5857700
34202030342281,5854400,5857700
34202030451995,5854400,5857600
34202034349986,5854400,5857300
34202255384370,5854400,5857200
34202383643886,5854400,5858000
34202491574399,5856900,5858000
34202491899451,5854400,5858000
34202565551981,5854400,5857700
34202579213336,5854700,5857700
34202682315289,5854700,5857400
34202682720418,5854700,5857100
34202756884230,5854700,5856800
34203011800485,5854400,5856800
34203011926972,5857000,5857100
34203012050158,5854400,5857100
34203012287906,5854500,5857100
34203089491920,5854500,5856800
34203122241619,5854600,5856800
34203132689191,5854600,5856500
34203295569158,5854600,5856900
34203295825553,5854600,5857100
34203324375320,5854700,5857100
34203407470514,5854700,5856800
34203600207607,5854400,5856800
34203600228363,5854400,5857000
34203600245629,5854400,5857100
34203954770434,5854500,5857100
34204105356795,5854700,5857100
34204127697885,5854700,5858000
34204328788797,5854700,5857900
34204328940476,5854600,5857900
34204328981067,5854400,5857900
34204363629779,5854700,5857900
34204398386310,5854700,5857600
34204567667869,5854500,5857600
34204567694596,5854400,5857600
34204567732500,5854400,5858000
34204570825637,5854400,5857900
34204576711342,5854700,5857900
34204577104418,5854700,5856800
34204621338690,5854700,5856700
34204894275109,5855000,5856700
34204894471164,5855000,5856800
