time,side,price,quantity
34200275016159,LiftAsk,5857400,40
34200275016159,LiftAsk,5857500,25
34200275057494,HitBid,5857300,1
34200275063291,HitBid,5857300,10
34200275072491,LiftAsk,5857500,25
34200275072491,LiftAsk,5857500,5
34200275072491,LiftAsk,5857500,7
34200275072491,LiftAsk,5857500,20
34200275072491,LiftAsk,5857800,25
34200275072491,LiftAsk,5857800,20
34200275072491,LiftAsk,5858000,4
34200275072491,LiftAsk,5858200,5
34200275072491,LiftAsk,5858300,7
34200275072491,LiftAsk,5859300,37
34200358687488,LiftAsk,5859300,4
34200417746831,HitBid,5857700,18
34200417746831,HitBid,5857300,9
34200418943908,HitBid,5857000,23
34200763059946,HitBid,5857000,1
34201011352575,HitBid,5857400,100
34201014980201,HitBid,5857000,26
34201015080514,HitBid,5856900,20
34201172976370,HitBid,5856500,5
34201172976370,HitBid,5856400,20
34201172976370,HitBid,5856000,3
34201172976370,HitBid,5855900,15
34201172976370,HitBid,5855500,1
34201172976370,HitBid,5855000,9
34201172976370,HitBid,5855000,5
34201172976370,HitBid,5855000,25
34202030342281,HitBid,5854700,18
34202030342281,HitBid,5854600,5
34203011926972,LiftAsk,5856800,18
34203011926972,LiftAsk,5856900,16
34203012050158,HitBid,5857000,66
34203295569158,LiftAsk,5856500,12
34203295569158,LiftAsk,5856800,18
34205175095396,LiftAsk,5856800,50
34205734539336,LiftAsk,5856500,18
34205734539336,LiftAsk,5856500,63
34205765156633,LiftAsk,5856500,37
34205765156633,LiftAsk,5856800,263
34205766878478,LiftAsk,5856800,132
34205768387095,LiftAsk,5856800,59
34209489945829,LiftAsk,5856800,225
34209542524480,LiftAsk,5856800,28
34209780716781,HitBid,5855000,18
34209780716781,HitBid,5854900,100
34209780716781,HitBid,5854900,42
34209780716781,HitBid,5854900,40
34209784078285,HitBid,5854900,27
34209786185996,HitBid,5854800,39
34209786185996,HitBid,5854800,27
34209786185996,HitBid,5854700,34
34209828774041,HitBid,5854900,66
34209828774041,HitBid,5854400,34
34211004344660,HitBid,5854400,16
34211333283280,HitBid,5854000,50
34211334948467,HitBid,5853800,20
34211334948467,HitBid,5853800,2
34212080208915,LiftAsk,5853900,143
34212095970517,HitBid,5853900,1
34212607269431,HitBid,5853600,5
34215204460371,LiftAsk,5854200,69
34215222056281,LiftAsk,5854200,251
34217205625508,LiftAsk,5855700,88
34217205639049,LiftAsk,5855700,12
34217205932482,LiftAsk,5855800,100
34217206719670,LiftAsk,5855800,59
34219517200180,LiftAsk,5854400,44
34222480233188,HitBid,5854100,100
34227732213652,LiftAsk,5856800,2
34234355328435,LiftAsk,5857200,18
34234355328435,LiftAsk,5857400,12
34234355328435,LiftAsk,5857400,13
34234385614796,LiftAsk,5857400,5
34239262268134,HitBid,5855400,18
34242087302783,HitBid,5855100,80
34242095405551,HitBid,5855100,120
34242095412434,HitBid,5855000,70
34242095512159,HitBid,5854700,100
34242096036500,HitBid,5854700,100
34242096059770,HitBid,5854400,35
34242125978297,HitBid,5853700,100
34242537922534,HitBid,5853700,18
34242539574882,HitBid,5853600,125
34242935112958,HitBid,5853000,49
34243452960618,HitBid,5853000,50
34243467275681,HitBid,5853000,100
34246689354442,HitBid,5853200,100
34246779185361,HitBid,5853000,31
34247507469814,LiftAsk,5855000,18
34247507469814,LiftAsk,5855100,100
34247507469814,LiftAsk,5855100,18
34247544222178,LiftAsk,5855100,100
34247573089965,LiftAsk,5855100,100
34247573089965,LiftAsk,5855200,300
34247902146775,HitBid,5856200,18
34252023086868,HitBid,5856900,100
34252027479853,LiftAsk,5857100,100
34252028256794,LiftAsk,5857100,100
34252029155928,HitBid,5856900,41
34252122145247,LiftAsk,5856900,100
34256190633870,LiftAsk,5856500,20
34256585857323,LiftAsk,5856400,100
34256971971765,HitBid,5855700,35
34259728897980,LiftAsk,5856400,100
34259729250575,LiftAsk,5856400,100
34259729520767,LiftAsk,5856400,60
34259729710872,HitBid,5856000,84
34259896048488,LiftAsk,5856300,100
34259933213122,LiftAsk,5856000,18
34259933213122,LiftAsk,5856100,18
34259933213122,LiftAsk,5856200,18
34259933213122,LiftAsk,5856300,7
34260189910763,LiftAsk,5856300,84
34260191825424,LiftAsk,5856300,9
34260191825424,LiftAsk,5856300,100
34260195383205,LiftAsk,5856300,100
34261824108543,LiftAsk,5856000,18
34261824108543,LiftAsk,5856100,16
34261824108543,LiftAsk,5856300,66
34261829973321,LiftAsk,5856400,100
34261830417990,LiftAsk,5856400,30
34261830675749,LiftAsk,5856400,70
34261945966689,LiftAsk,5856400,11
34264212574525,HitBid,5855900,35
34270085255366,HitBid,5853500,10
34270085364701,HitBid,5853500,8
34270104431749,HitBid,5853400,18
34270106940669,HitBid,5853300,18
34270107019493,HitBid,5853200,100
34270107019493,HitBid,5853200,200
34270107019493,HitBid,5853200,18
34270230930874,LiftAsk,5854300,80
34270231083555,LiftAsk,5855000,100
34274651596186,HitBid,5855100,100
34277377258512,LiftAsk,5856300,100
34278891627439,LiftAsk,5856200,100
34278891627439,LiftAsk,5856200,37
34281344872902,LiftAsk,5856300,100
34281348641172,LiftAsk,5856300,27
34281350897901,LiftAsk,5856300,73
34281350897901,LiftAsk,5856300,100
34281351360262,LiftAsk,5856300,100
34281362866376,LiftAsk,5856300,85
34283722987642,HitBid,5854700,1
34283937886139,HitBid,5854400,20
